rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss
-0.00029914,688128,999.0,1078,336,638,0.0015378487296402454,0.2,0.007567732331517618,7.77107962882757e-09,-0.004096989519894123,0.0040166928,0.17294921875,3350,-0.1675046682357788,0.0003,5.060906660556793
-0.00029727000000000003,690176,999.0,1078,337,640,0.0015343395061790943,0.2,0.007275809214479523,6.187301007534815e-10,-0.007208600640296936,0.011339191,0.159814453125,3360,-0.525679349899292,0.0003,5.059699396789074
-0.00029605,692224,999.0,1078,338,641,0.0015364158898591995,0.2,0.005156740479287691,6.138428329874324e-09,0.017410486936569214,0.005975305,0.11455078125,3370,-0.9556397199630737,0.0003,5.060649392008782
-0.00029498,694272,999.0,1078,339,643,0.0015184131916612387,0.2,0.005707002470444422,2.208876770885132e-08,-0.016705913469195366,0.009442025,0.108544921875,3380,-0.9993817806243896,0.0003,5.064931978285313
-0.0002931899999999999,696320,999.0,1078,340,645,0.0015129082603380084,0.2,0.009043556191318202,2.835484582373871e-10,0.017096901312470436,0.0035805078,0.13515625,3390,-0.8281785249710083,0.0003,5.073764206469059
-0.00029189,698368,999.0,1078,341,647,0.0015172255225479603,0.2,0.002888553947559558,5.394049056676292e-07,-0.0035113811027258635,0.0074202716,0.1056640625,3400,-0.39058148860931396,0.0003,5.072332584857941
-0.0002906,700416,999.0,1078,342,649,0.001499683829024434,0.2,0.005545153145794757,1.7478852991245587e-06,-0.0005202119355089962,0.004143726,0.139697265625,3410,-1.918168544769287,0.0003,5.077649450302124
-0.00028811000000000006,702464,999.0,1078,343,651,0.0014708652161061764,0.2,0.0036582237771654036,4.1407929291404497e-08,-0.0009046865743584931,0.0062420974,0.083251953125,3420,-1.8666913509368896,0.0003,5.089773143827915
-0.00028591,704512,999.0,1078,344,653,0.0014655207050964236,0.2,0.006738579549710267,2.1937010392892794e-10,-0.009678103029727936,0.009741428,0.132568359375,3430,-1.677555799484253,0.0003,5.1033680334687235
-0.00028403,706560,999.0,1078,345,655,0.0014631676021963358,0.2,0.005694507852604147,1.754369594909877e-10,0.014737948775291443,0.01005272,0.13212890625,3440,-1.7486164569854736,0.0003,5.107158769667149
-0.00028279999999999994,708608,999.0,1078,346,657,0.001461797277443111,0.2,0.005699765308236238,4.779671873502041e-08,0.000880909152328968,0.014872917,0.13203125,3450,-1.4302160739898682,0.0003,5.110400936007499
-0.0002808399999999999,710656,999.0,1078,347,659,0.0014605550095438957,0.2,0.009529402088446659,1.0339419205247606e-09,0.02964026853442192,0.01796826,0.173095703125,3460,-1.7388818264007568,0.0003,5.108372642099857
-0.00027899999999999995,712704,999.0,1078,348,660,0.0014563878066837788,0.2,0.005086159342317842,6.68973709813843e-08,-0.00486401841044426,0.023464045,0.1283203125,3470,-1.402099370956421,0.0003,5.112358185648918
-0.00027613,714752,999.0,1078,349,662,0.0014362405054271221,0.2,0.014638609573012218,1.5110961649524164e-05,0.01228213869035244,0.016041934,0.22216796875,3480,-1.2783608436584473,0.0003,5.1215247303247455
-0.00027383999999999997,716800,999.0,1078,350,664,0.0014488233719021082,0.2,0.008537960521789501,0.00027574871161348497,-0.017476243898272514,0.016886335,0.2044921875,3490,-0.036791086196899414,0.0003,5.120229515433311
-0.00027329000000000003,718848,999.0,1078,351,666,0.0014531302731484175,0.2,0.00981927673856262,5.8960123380802365e-09,0.04279141500592232,0.008306745,0.16201171875,3500,-1.0274183750152588,0.0003,5.118617258965969
-0.00027151,720896,999.0,1078,352,668,0.0014544154983013868,0.2,0.011730795822222717,6.3566345784304975e-09,-0.0016617497894912958,0.00722532,0.18603515625,3510,-2.1211845874786377,0.0003,5.115242652595043
-0.00027074,722944,999.0,1078,353,670,0.0014544585719704628,0.2,0.012192541916738265,2.9477749413295284e-09,-0.00024032715009525418,0.015879735,0.20419921875,3520,-1.4476871490478516,0.0003,5.112559382617474
-0.00027065,724992,999.0,1078,354,672,0.001460866304114461,0.2,0.006574995586561272,1.8531914825620222e-09,0.04191602021455765,0.018695699,0.16220703125,3530,-0.4692375659942627,0.0003,5.114363811910152
-0.00027104999999999995,727040,999.0,1078,355,674,0.0014624135801568627,0.2,0.00683913611137541,7.644675129904465e-10,-0.0006724296836182475,0.009040616,0.166357421875,3540,-0.6229310035705566,0.0003,5.108184435963631
-0.00027067,729088,999.0,1078,356,676,0.0014659232692793012,0.2,0.0116088535025483,1.2413078109667352e-09,0.007899284362792969,0.029782273,0.1830078125,3550,-2.1908297538757324,0.0003,5.108546960353851
-0.00026959,731136,999.0,1078,357,678,0.001468065893277526,0.2,0.006403900844452437,9.583571808748428e-10,-0.016942596063017845,0.015980132,0.123779296875,3560,-0.698703408241272,0.0003,5.103253838419914
-0.0002684,733184,999.0,1078,358,679,0.001456036465242505,0.2,0.008717091406288091,4.1153322802474356e-10,0.0020434504840523005,0.0057527395,0.158349609375,3570,-1.607121467590332,0.0003,5.108033534884453
-0.00026759999999999995,735232,999.0,1078,359,681,0.0014498586533591151,0.2,0.007111316300870385,5.401819789217776e-10,-0.01035415381193161,0.009996019,0.15234375,3580,-1.7494518756866455,0.0003,5.115795327723026
-0.00026666,737280,999.0,1078,360,683,0.0014303144998848438,0.2,0.0037270873013767413,1.9030601471851232e-10,-0.022172898054122925,0.020314187,0.115625,3590,-0.678818941116333,0.0003,5.124599713087082
-0.00026587,739328,999.0,1078,361,685,0.0014377610059455037,0.2,0.00781852375876042,4.795988319157562e-10,0.02433520369231701,0.012863855,0.1810546875,3600,-1.4398183822631836,0.0003,5.12762153595686
-0.00026525,741376,999.0,1077,362,688,0.0014315774897113442,0.2,0.004369010968366638,1.735164753416743e-10,-0.0033370039891451597,0.0104873385,0.11943359375,3610,-1.5545272827148438,0.0003,5.127833177149296
-0.00026478,743424,999.0,1077,363,689,0.0014167962362989783,0.2,0.00925752009061398,9.376587921904045e-10,-0.0015204062219709158,0.01641617,0.166796875,3620,-1.3472990989685059,0.0003,5.136533756554127
