rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
306.41,306.41,922,38912,42,19,-0.0007780721425660886,0.019384765625,0.24927979355852586,0.005797022953629494,0.2,-0.5292217259295284,0.018787026405334473,180,0.0003,0.0031883959
323.59,323.59,922,40960,44,20,-0.001913780457834946,0.0283203125,0.17390349048364442,0.012773893773555756,0.2,-0.4936686860397458,0.021202921867370605,190,0.0003,0.0036666102
339.56,339.56,923,43008,46,21,-0.0014396416343515738,0.029345703125,0.11356866446003551,0.012369109317660332,0.2,-0.5256480988115072,-0.00908350944519043,200,0.0003,0.0027362271
354.82,354.82,923,45056,48,22,-0.0025323538022348656,0.053662109375,0.06783780097703129,0.013505680486559868,0.2,-0.5114348204806447,0.02701514959335327,210,0.0003,0.0053504286
370.51,370.51,921,47104,51,23,-0.0016198228018765803,0.026708984375,0.04296562396775698,0.006492911372333765,0.2,-0.5008817486464977,0.024448513984680176,220,0.0003,0.0029273224
385.98,385.98,920,49152,53,24,-0.00211093330726726,0.041845703125,0.028480318153197005,-0.006121319718658924,0.2,-0.49605029793456196,0.021464943885803223,230,0.0003,0.0036379853
399.09,399.09,918,51200,55,25,-0.0004921839383314364,0.01884765625,0.017986848475811713,0.002212765160948038,0.2,-0.5242221416905523,-0.015012860298156738,240,0.0003,0.0016333486
414.2,414.2,919,53248,57,26,-0.0022516797776916063,0.037060546875,0.012106215174753743,-0.010727563872933388,0.2,-0.4874749089591205,0.009910762310028076,250,0.0003,0.003807309
428.66,428.66,918,55296,60,27,-0.0013028800007305109,0.027490234375,0.007526943854099954,-0.014003243297338486,0.2,-0.4907645111903548,-0.01948261260986328,260,0.0003,0.004825404
441.93,441.93,917,57344,62,28,-0.001870718301506713,0.034619140625,0.005503541766256603,-0.014322033151984215,0.2,-0.4734602556563914,-0.020743250846862793,270,0.0003,0.0023805248
452.58,452.58,918,59392,64,29,-0.0018679167827940547,0.032470703125,0.003467065433665084,0.016545535996556282,0.2,-0.45814517019316553,-0.017330527305603027,280,0.0003,0.0029830546
461.77,461.77,917,61440,66,30,-0.0035843949823174625,0.072314453125,0.0022266684595024346,-0.024129318073391914,0.2,-0.4525624384172261,0.008044123649597168,290,0.0003,0.0064183157
472.02,472.02,918,63488,69,31,-0.0012530416075605898,0.03212890625,0.0015967751024390964,-0.017011579126119614,0.2,-0.453215800691396,-0.02236485481262207,300,0.0003,0.0031683878
476.12,476.12,917,65536,71,32,-0.0018958961896714754,0.05361328125,0.0010693515047137225,-0.0009768629679456353,0.2,-0.44900193214416506,-0.02100503444671631,310,0.0003,0.0036933026
479.46,479.46,917,67584,73,33,-0.0039583124904311266,0.08203125,0.0007186183403518953,-0.0004923362284898758,0.2,-0.4596561026759446,-0.048341989517211914,320,0.0003,0.00814287
489.23,489.23,916,69632,75,34,-0.002132074537803419,0.025927734375,0.0005286932849912773,-0.01732170395553112,0.2,-0.44445471027866007,-0.06834661960601807,330,0.0003,0.004643146
493.84,493.84,915,71680,78,35,-0.00048367702947871294,0.016845703125,0.00036643536894302996,-0.0008382117375731468,0.2,-0.4390632641501725,-0.006135821342468262,340,0.0003,0.0033459517
499.56,499.56,915,73728,80,36,-0.0002502242074115202,0.017529296875,0.00026343305954696917,0.0012487226631492376,0.2,-0.4343815934844315,-0.027965784072875977,350,0.0003,0.0032042025
500.0,500.0,908,75776,83,37,-0.005251630618295167,0.082568359375,0.0001693720026310075,-0.0021914024837315083,0.2,-0.43089268170297146,0.018950998783111572,360,0.0003,0.0066762073
500.0,500.0,900,77824,86,38,-0.004048347735806601,0.034716796875,0.00013153254756161913,0.013392905704677105,0.2,-0.41365045877173545,0.032305002212524414,370,0.0003,0.003267541
500.0,500.0,893,79872,89,39,-5.573770176852122e-05,0.01298828125,9.248844471585472e-05,-0.0018577189184725285,0.2,-0.4340059096924961,-0.13828277587890625,380,0.0003,0.0013371399
500.0,500.0,888,81920,92,40,-0.002082257626170758,0.044140625,6.846227056485077e-05,0.002288184594362974,0.2,-0.42453482672572135,-0.12269675731658936,390,0.0003,0.0035426277
500.0,500.0,883,83968,95,41,-0.002248147845239146,0.08955078125,4.827968721770049e-05,-0.005322137847542763,0.2,-0.4265615036711097,-0.11907029151916504,400,0.0003,0.007410528
500.0,500.0,878,86016,97,42,-0.0005223945126999752,0.0443359375,3.1946227596790774e-05,-0.0022946756798774004,0.2,-0.43090886566787956,-0.32347166538238525,410,0.0003,0.003869044
500.0,500.0,874,88064,100,43,-0.0015871619281824679,0.047998046875,2.137368581998089e-05,-0.0005316701717674732,0.2,-0.4302233141846955,-0.27989137172698975,420,0.0003,0.002449183
500.0,500.0,870,90112,103,44,-0.0020628166297683493,0.051025390625,1.705908807423384e-05,0.004403708502650261,0.2,-0.41326829912140967,-0.6179338693618774,430,0.0003,0.0044800374
500.0,500.0,867,92160,106,45,-0.0018696114129852504,0.037255859375,1.3371556366337246e-05,-0.0023612575605511665,0.2,-0.40511039746925237,-0.40940582752227783,440,0.0003,0.0024920262
500.0,500.0,863,94208,109,46,-0.0011248143309785519,0.01044921875,8.44754098636713e-06,-0.0006753141642548144,0.2,-0.39527143593877556,-0.44430720806121826,450,0.0003,0.0021724156
500.0,500.0,859,96256,112,47,-0.002422834309982136,0.0462890625,7.0972832617144375e-06,-0.002677322831004858,0.2,-0.3701046137139201,-0.5239222049713135,460,0.0003,0.0054075695
500.0,500.0,856,98304,114,48,-0.001561532369669294,0.01318359375,4.796373889348615e-06,-9.278293146053329e-05,0.2,-0.3651231284253299,-1.0267794132232666,470,0.0003,0.0021754089
500.0,500.0,852,100352,117,49,-0.005006552096165251,0.042041015625,4.455126992297665e-06,0.006106174550950527,0.2,-0.3108798511326313,-0.890898585319519,480,0.0003,0.004373121
500.0,500.0,849,102400,120,50,-0.0009182190842693672,0.018115234375,2.952842075387707e-06,0.0004548924625851214,0.2,-0.31900717546232044,-1.5972142219543457,490,0.0003,0.002346065
500.0,500.0,850,104448,122,51,-0.00040101115009747443,0.019873046875,3.31977546750295e-06,-0.001994108548387885,0.2,-0.3160236426629126,-1.5317926406860352,500,0.0003,0.0011897185
500.0,500.0,851,106496,125,52,-0.0012392704164085444,0.020703125,2.47334670575583e-06,-0.00331838708370924,0.2,-0.29549778224900364,-2.053339719772339,510,0.0003,0.0037257392
500.0,500.0,852,108544,127,53,-0.0016454874057671987,0.021435546875,3.6470164104684956e-06,0.0006979774916544557,0.2,-0.28437233846634624,-1.774280071258545,520,0.0003,0.0024569863
500.0,500.0,854,110592,129,54,-0.0010619794156809803,0.023095703125,6.3495593593643205e-06,-0.0009767665760591626,0.2,-0.2585810771677643,-3.2926297187805176,530,0.0003,0.0015480316
500.0,500.0,855,112640,131,55,-0.0005273521179333329,0.020556640625,1.3135205676917394e-06,-0.0006195672322064638,0.2,-0.25049258512444794,-3.6493515968322754,540,0.0003,0.0016874727
500.0,500.0,856,114688,133,56,-0.001342815993120894,0.060009765625,1.9788798567788036e-06,-0.02082601748406887,0.2,-0.2789732275530696,-4.475857734680176,550,0.0003,0.0064708516
500.0,500.0,857,116736,136,57,-0.0020844223894528114,0.01435546875,3.5680677598293188e-06,-0.006962071638554335,0.2,-0.2591362297069281,-2.4180915355682373,560,0.0003,0.0020125033
500.0,500.0,856,118784,138,58,0.0001676546555245295,0.005859375,1.4219705462892307e-05,0.00228310190141201,0.2,-0.2656994669698179,-7.231313705444336,570,0.0003,0.0013036961
500.0,500.0,856,120832,141,59,-0.0007788863338646479,0.036474609375,9.688032633903276e-07,-0.005633244756609201,0.2,-0.2865908654406667,-2.7482969760894775,580,0.0003,0.0042092963
500.0,500.0,857,122880,143,60,-0.00029101379914209247,0.017578125,2.6609101695385107e-06,0.0071957590989768505,0.2,-0.2576178616378456,-7.942750930786133,590,0.0003,0.0017084124
500.0,500.0,858,124928,145,61,-0.002544688461057376,0.05712890625,1.6746207165851956e-06,0.000674787035677582,0.2,-0.2662402939517051,-4.876359939575195,600,0.0003,0.003729943
500.0,500.0,859,126976,147,62,-0.002454657797352411,0.043994140625,5.5079816490888334e-05,0.006976477336138487,0.2,-0.270503637380898,-6.6664719581604,610,0.0003,0.005206704
500.0,500.0,859,129024,150,63,0.0002605808520456776,0.009716796875,9.144691125584358e-06,-0.0014904523268342018,0.2,-0.2648735926952213,-4.973922252655029,620,0.0003,0.00071684003
500.0,500.0,859,131072,152,64,-0.003829629841493443,0.09052734375,4.775247077759559e-07,0.014319419860839844,0.2,-0.2916003579739481,-9.605400085449219,630,0.0003,0.009740943
500.0,500.0,860,133120,154,65,-0.0027974334618193096,0.032470703125,5.018664325007194e-07,-0.00494316965341568,0.2,-0.2646424365695566,-2.0741097927093506,640,0.0003,0.0024275845
500.0,500.0,861,135168,156,66,-0.003129314678517403,0.02548828125,4.67408329996033e-07,-0.009059782139956951,0.2,-0.26734228786081077,-3.768949508666992,650,0.0003,0.0027981685
500.0,500.0,861,137216,159,67,-0.002212834599049529,0.026318359375,5.142292451409958e-07,-0.0036661839112639427,0.2,-0.24376618033275008,-12.858882904052734,660,0.0003,0.0032865792
500.0,500.0,862,139264,161,68,-0.0019485079377773219,0.02802734375,4.2004060105682586e-07,-0.002830896293744445,0.2,-0.24792710719630123,-2.781989574432373,670,0.0003,0.00085148495
500.0,500.0,862,141312,163,69,-0.0006672491945209913,0.0126953125,2.6649723309901672e-06,0.002400326309725642,0.2,-0.23695583338849247,-8.696196556091309,680,0.0003,0.0011533529
500.0,500.0,863,143360,166,70,-0.0002258902124594897,0.0072265625,2.2154682636710276e-05,-0.0022475330624729395,0.2,-0.2521963829640299,-7.491732597351074,690,0.0003,0.0013029187
500.0,500.0,863,145408,168,71,-0.0011761627523810604,0.042236328125,2.818169633655998e-07,-0.004282113164663315,0.2,-0.2663630484137684,-12.299959182739258,700,0.0003,0.0031668292
500.0,500.0,861,147456,171,72,-0.0027745117607992143,0.05029296875,3.6908421918724343e-07,-0.008436763659119606,0.2,-0.27062531444244087,-12.973999977111816,710,0.0003,0.0054898076
500.0,500.0,858,149504,174,73,-0.00015452968800673262,0.01015625,9.389762112732569e-07,-0.0006302402471192181,0.2,-0.24463666309602558,-11.023200035095215,720,0.0003,0.0007177577
500.0,500.0,856,151552,176,74,-5.039001844124869e-05,0.0154296875,2.6672270593053326e-06,0.005311829037964344,0.2,-0.2491946208756417,-7.864241600036621,730,0.0003,0.0017191839
500.0,500.0,854,153600,179,75,0.0005816272954689339,0.017236328125,1.6208690044550168e-05,0.0047044772654771805,0.2,-0.25851290044374764,-8.252903938293457,740,0.0003,0.0012289186
500.0,500.0,851,155648,182,76,0.00013910873094573616,0.02529296875,7.942857934040148e-07,-0.0035870163701474667,0.2,-0.2508582127280533,-10.108502388000488,750,0.0003,0.0017860283
