time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,rollout/ep_len_mean,train/n_updates
124,0.001,-115.73883571999998,389,31440,-150.0011046362705,14.047267022680064,80,252.48,31275
128,0.001,-115.57808691,395,31914,-148.95656068589952,14.516170930862426,80,238.0,31760
132,0.001,-116.26145935999999,404,32652,-148.9818239181173,15.076857790592033,80,225.5,32401
136,0.001,-117.31323905999997,413,33447,-149.76846525159186,16.366518924691086,80,230.52,33026
140,0.001,-116.0297407,461,38457,-156.2527746105194,15.422902592122554,83,262.32,36795
144,0.001,-116.08186631000002,503,40421,-166.00269985938257,12.507084375204043,80,279.17,40286
148,0.001,-117.36427032000002,528,42548,-169.4006334439976,12.76497600585457,80,296.72,42311
152,0.001,-117.88462104999999,536,44547,-169.96532525634765,18.355869665145875,82,311.73,42885
156,0.001,-118.34122355999997,615,50697,-195.4846287727356,16.347437099963425,82,369.37,49285
160,0.001,-117.93140616000001,674,55693,-205.82323514938355,18.5774183601141,82,416.47,54031
164,0.001,-118.05908643000001,737,59402,-203.61628185272218,15.434870543926955,80,451.09,59154
168,0.001,-118.52189595000002,758,61133,-199.3569218160535,14.355330403464526,80,465.46,60786
172,0.001,-118.5672409,770,61921,-195.44819831848145,10.391062631056858,80,470.62,61729
176,0.001,-118.49149084999999,782,62842,-195.5967137070953,11.08962303302327,80,475.52,62696
180,0.001,-118.36985137000002,786,63231,-192.96578402635527,20.201162495264192,80,476.2,63033
184,0.001,-118.06979181999999,791,63510,-192.43637517672866,10.959283643694066,80,474.79,63367
188,0.001,-117.41438833000001,796,63960,-192.23880004882812,11.328971503532095,80,474.12,63773
192,0.001,-115.63345726,802,64470,-190.63510948841966,13.122886297271007,80,433.5,64251
196,0.001,-116.49373221999998,813,65212,-189.3729684844272,12.01323770930749,80,418.92,65073
200,0.001,-118.10312805,830,67077,-186.54626224248736,19.6233011156032,80,423.37,66424
204,0.001,-117.21646238000001,842,67537,-184.2551336703093,14.49397154217181,80,398.05,67362
208,0.001,-118.09514348000002,847,67940,-183.7223358154297,15.508427674533756,80,395.66,67757
212,0.001,-118.40242679000002,853,68398,-183.74746612181147,15.880621640078992,80,394.32,68224
216,0.001,-118.36620274999997,859,68830,-183.2658706976443,16.50971589769636,80,384.94,68630
220,0.001,-118.77464269000001,889,71173,-182.15232989221752,22.33099013555074,80,402.45,70957
224,0.001,-120.33114635,916,73390,-181.20906284604413,24.729767569313957,80,419.5,73007
228,0.001,-120.74842682000002,930,74369,-179.00097865443075,19.72589075565338,79,424.55,74122
232,0.001,-121.30975448999999,980,78895,-174.4394623184204,18.803560385704042,80,462.43,77873
236,0.001,-120.49472702000001,1038,82402,-163.48170913696288,15.854975209385156,79,489.55,82202
240,0.001,-122.19132733000002,1050,83502,-157.70368194580078,19.70666631785306,79,450.45,83118
244,0.001,-119.79288242999999,1096,87424,-153.3168808422952,14.206811936303913,79,470.03,86584
248,0.001,-117.98961281000001,1135,89946,-148.44162327341374,14.483673120259345,79,473.98,89469
252,0.001,-117.42480165999997,1171,92783,-142.978494289702,9.002382732070652,79,482.36,92162
256,0.001,-117.1362507,1243,99183,-135.23957254886628,10.091624614074826,79,484.86,97521
260,0.001,-117.78790392000002,1328,104044,-122.41808588027953,9.036843840703368,78,483.51,103921
264,0.001,-117.34687676000001,1332,104313,-121.39846885367615,8.110166193687753,78,449.11,104183
268,0.001,-116.67733139,1336,104622,-120.57665119473896,6.731351697255695,78,434.89,104458
