time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
706400,0.0003,17257,3532,706299,-127.60545801000002,-0.4140828847885132,0.019974995404481888,200.0,6.166581630706787,40,0.08015065640211105
707200,0.0003,17274,3536,707099,-127.74552396000001,0.15474805235862732,0.021162211894989014,200.0,9.179327011108398,40,0.3259700536727905
708000,0.0003,17291,3540,707899,-126.77909621,-0.21851497888565063,0.020147573202848434,200.0,14.617416381835938,40,0.528357744216919
708800,0.0003,17308,3544,708699,-129.00636225999997,0.11876903474330902,0.018765101209282875,200.0,10.862263679504395,40,0.2130926549434662
709600,0.0003,17325,3548,709499,-132.87946588,0.01914934813976288,0.01999070681631565,200.0,8.185101509094238,40,0.19271504878997803
710400,0.0003,17342,3552,710299,-131.80030734,0.8084200620651245,0.021018829196691513,200.0,8.876043319702148,40,0.06656870245933533
711200,0.0003,17359,3556,711099,-131.63759969,-0.8929169178009033,0.022276785224676132,200.0,10.929147720336914,40,0.1495777666568756
712000,0.0003,17376,3560,711899,-135.83934891,-0.20605741441249847,0.02173064649105072,200.0,12.856182098388672,40,0.5211328268051147
712800,0.0003,17393,3564,712699,-133.59130292,0.14389270544052124,0.021312100812792778,200.0,13.335522651672363,40,0.23795759677886963
713600,0.0003,17410,3568,713499,-130.17301927,0.1855398565530777,0.021794388070702553,200.0,10.193957328796387,40,0.07996238023042679
714400,0.0003,17427,3572,714299,-130.26918314,0.8690630793571472,0.02169129252433777,200.0,13.167686462402344,40,0.27890074253082275
715200,0.0003,17444,3576,715099,-131.37460746,-0.4358220398426056,0.02147253230214119,200.0,15.13066577911377,40,0.2374919056892395
716000,0.0003,17461,3580,715899,-130.22924897,-0.7642345428466797,0.01952066831290722,200.0,14.854708671569824,41,0.23478850722312927
716800,0.0003,17478,3584,716699,-128.61110263999998,-0.7997140884399414,0.02017473243176937,200.0,13.346538543701172,41,0.18914510309696198
717600,0.0003,17495,3588,717499,-130.36520162000002,-0.27459365129470825,0.02119176834821701,200.0,13.860222816467285,41,0.12957331538200378
718400,0.0003,17512,3592,718299,-128.3759307,-0.11251112073659897,0.021167919039726257,200.0,12.740951538085938,41,0.25765204429626465
719200,0.0003,17529,3596,719099,-126.64792989,0.08805041760206223,0.020290125161409378,200.0,11.529109001159668,41,0.8863312602043152
720000,0.0003,17546,3600,719899,-131.27465541,-0.12936177849769592,0.0218666885048151,200.0,12.440561294555664,41,0.11392915993928909
720800,0.0003,17563,3604,720699,-129.00153957,0.30086803436279297,0.020145300775766373,200.0,11.332524299621582,41,0.20060062408447266
721600,0.0003,17580,3608,721499,-126.71648845000001,-0.4133628010749817,0.02119939960539341,200.0,11.203757286071777,41,0.28905200958251953
722400,0.0003,17597,3612,722299,-126.33781402000001,-0.2518194019794464,0.022012906149029732,200.0,11.883296012878418,41,0.1330040991306305
723200,0.0003,17614,3616,723099,-127.36118301999998,0.329906165599823,0.020185649394989014,200.0,12.16036319732666,41,0.102715402841568
724000,0.0003,17631,3620,723899,-128.59855066999998,-0.1491820216178894,0.02137918770313263,200.0,15.160396575927734,41,0.15248249471187592
724800,0.0003,17648,3624,724699,-132.68478617999997,-0.42158806324005127,0.02110641822218895,200.0,10.120088577270508,41,0.1741662621498108
725600,0.0003,17665,3628,725499,-132.46617535,0.9646798968315125,0.020887598395347595,200.0,14.07530689239502,41,0.2052895873785019
726400,0.0003,17682,3632,726299,-134.84592981999998,-0.22004272043704987,0.02043437957763672,200.0,13.729747772216797,41,0.23543548583984375
727200,0.0003,17699,3636,727099,-133.74717202000002,-0.2022177278995514,0.02085091359913349,200.0,14.292216300964355,41,0.15042006969451904
728000,0.0003,17716,3640,727899,-133.66047276,-0.12713000178337097,0.020636381581425667,200.0,10.171039581298828,41,0.14337222278118134
728800,0.0003,17733,3644,728699,-132.35020638,0.2663664221763611,0.020363274961709976,200.0,13.264902114868164,41,0.24910393357276917
729600,0.0003,17750,3648,729499,-127.32928475,-0.3760966956615448,0.02026837319135666,200.0,10.884354591369629,41,0.11967846751213074
730400,0.0003,17766,3652,730299,-127.10920784,-0.06494425237178802,0.02122764103114605,200.0,15.236465454101562,41,0.26860561966896057
731200,0.0003,17783,3656,731099,-125.97372633999997,-0.2460346817970276,0.021513311192393303,200.0,11.11585807800293,41,0.10324634611606598
732000,0.0003,17801,3660,731899,-123.15395134999999,0.13510367274284363,0.02096126787364483,200.0,13.136824607849121,41,0.14448857307434082
732800,0.0003,17819,3664,732699,-126.33376851000001,0.5860043168067932,0.019368059933185577,200.0,12.476127624511719,41,0.1579817682504654
733600,0.0003,17837,3668,733499,-130.84357795999998,0.0818948894739151,0.01989300735294819,200.0,13.428847312927246,41,0.2760109007358551
