time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
131868,0.0003,2712,132,131767,-0.7922606999999998,0.08344259858131409,0.0015880913706496358,999.0,0.22872543334960938,48,1.3546341826042863e-08
135864,0.0003,2797,136,135763,-0.79353774,0.03196351230144501,0.001586603350006044,999.0,0.23076851665973663,48,1.5088764016013556e-08
139860,0.0003,2881,140,139759,-0.7951486099999998,0.3557445704936981,0.0015870308270677924,999.0,0.23249585926532745,48,1.589034326343608e-08
143856,0.0003,2965,144,143755,-0.79545643,0.1822740137577057,0.0015869990456849337,999.0,0.23409223556518555,48,1.8892762909672456e-08
147852,0.0003,3049,148,147751,-0.7962882499999998,0.080889992415905,0.0015898104757070541,999.0,0.23534433543682098,48,1.888164824492833e-08
151848,0.0003,3133,152,151747,-0.79542552,-0.22259590029716492,0.0015887593617662787,999.0,0.2360297292470932,48,1.709817887274312e-08
155844,0.0003,3217,156,155743,-0.7951944000000002,0.0059325965121388435,0.001588540500961244,999.0,0.2369483858346939,48,2.3767015022713167e-08
159840,0.0003,3301,160,159739,-0.79700804,-0.21942028403282166,0.0015867863548919559,999.0,0.23744572699069977,48,1.0850265574902096e-08
163836,0.0003,3387,164,163735,-0.7968528599999999,0.06109609827399254,0.0015867379261180758,999.0,0.23808784782886505,48,1.283912176575086e-08
167832,0.0003,3471,168,167731,-0.7964656500000001,-0.021231502294540405,0.0015880133723840117,999.0,0.2384031116962433,48,2.5492383315395273e-08
171828,0.0003,3555,172,171727,-0.7956208399999999,0.35241273045539856,0.0015872427029535174,999.0,0.23870216310024261,48,5.529632218781444e-08
175824,0.0003,3639,176,175723,-0.7978986900000001,-0.3291817903518677,0.00158589833881706,999.0,0.23915192484855652,48,1.81787100927977e-08
179820,0.0003,3723,180,179719,-0.79811732,-0.15811288356781006,0.001586955157108605,999.0,0.2394731640815735,48,1.755894984967199e-08
183816,0.0003,3807,184,183715,-0.7985794199999999,0.12844198942184448,0.001585496123880148,999.0,0.23946772515773773,48,1.015481565502796e-08
187812,0.0003,3892,188,187711,-0.79938278,-0.06337852776050568,0.0015853161457926035,999.0,0.2395254373550415,48,1.8798939294129013e-08
191808,0.0003,3977,192,191707,-0.7995491600000002,0.20995476841926575,0.0015866070752963424,999.0,0.23972190916538239,48,3.0965807695793046e-08
195804,0.0003,4061,196,195703,-0.7986887700000003,-0.2935872972011566,0.0015886571491137147,999.0,0.23965367674827576,48,6.406080554910432e-09
199800,0.0003,4145,200,199699,-0.7988354000000001,0.5651061534881592,0.0015884707681834698,999.0,0.23953314125537872,48,2.613889993341445e-09
203796,0.0003,4229,204,203695,-0.7985953700000001,0.3423192501068115,0.0015860118437558413,999.0,0.23982085287570953,48,1.88377207166468e-08
207792,0.0003,4313,208,207691,-0.7967742500000001,0.4424038529396057,0.001588510232977569,999.0,0.23964905738830566,48,7.831019388504501e-09
211788,0.0003,4397,212,211687,-0.79515312,0.10435181856155396,0.0015882004518061876,999.0,0.23961710929870605,48,1.7807405328085224e-08
215784,0.0003,4481,216,215683,-0.79433933,0.04466738551855087,0.0015883095329627395,999.0,0.23960857093334198,48,3.776666090971048e-09
219780,0.0003,4566,220,219679,-0.7949154300000001,-0.01494482159614563,0.0015889040660113096,999.0,0.23972783982753754,48,3.5871909886964204e-09
223776,0.0003,4650,224,223675,-0.79522938,0.10129767656326294,0.0015874592354521155,999.0,0.23974119126796722,48,1.155102324901236e-08
227772,0.0003,4734,228,227671,-0.79486283,-0.25415587425231934,0.001588301151059568,999.0,0.23951567709445953,48,1.2951065997413025e-08
231768,0.0003,4819,232,231667,-0.7947637900000001,0.4166693687438965,0.00158867915160954,999.0,0.23970401287078857,48,1.6357951437839802e-08
235764,0.0003,4904,236,235663,-0.79363302,-0.18110904097557068,0.0015875803073868155,999.0,0.23966707289218903,48,1.2360782619680322e-08
239760,0.0003,4988,240,239659,-0.7933359799999999,0.41136959195137024,0.0015875364188104868,999.0,0.23958520591259003,48,7.404692414780811e-09
243756,0.0003,5073,244,243655,-0.7932531300000001,-0.2077142298221588,0.001587553764693439,999.0,0.23954840004444122,48,5.251638679482085e-09
247752,0.0003,5159,248,247651,-0.7920664700000002,-0.20559361577033997,0.0015885109314695,999.0,0.23969775438308716,48,3.80414633127657e-09
251748,0.0003,5244,252,251647,-0.7921546599999999,0.17069567739963531,0.0015883632004261017,999.0,0.23946118354797363,48,6.718246847725595e-09
255744,0.0003,5328,256,255643,-0.7925877600000001,0.22936436533927917,0.0015886746114119887,999.0,0.23969238996505737,47,1.241303593246812e-08
259740,0.0003,5412,260,259639,-0.7918907199999999,0.030702754855155945,0.0015864996239542961,999.0,0.23957966268062592,47,1.120276849064794e-08
263736,0.0003,5497,264,263635,-0.7918082000000001,-0.5731922388076782,0.0015870451461523771,999.0,0.2394649088382721,47,9.996560024205792e-09
267732,0.0003,5582,268,267631,-0.7926281500000002,-0.48846232891082764,0.0015876083634793758,999.0,0.23948460817337036,47,2.1054230359141002e-08
271728,0.0003,5666,272,271627,-0.7933470100000001,0.030689779669046402,0.0015883337473496795,999.0,0.23954558372497559,47,9.801524925023841e-09
275724,0.0003,5751,276,275623,-0.79273161,-0.23000109195709229,0.0015873146476224065,999.0,0.23962843418121338,47,8.175737420401674e-09
279720,0.0003,5835,280,279619,-0.7917502800000001,0.060210589319467545,0.0015885011525824666,999.0,0.23955458402633667,47,8.297572406945619e-09
283716,0.0003,5919,284,283615,-0.7915092100000001,-0.34380966424942017,0.0015891693765297532,999.0,0.23945008218288422,47,1.65846518740409e-08
287712,0.0003,6003,288,287611,-0.7896411999999998,-0.30205342173576355,0.0015872487565502524,999.0,0.23951959609985352,47,3.637744327988912e-08
291708,0.0003,6088,292,291607,-0.7898101900000002,-0.14330795407295227,0.0015877687837928534,999.0,0.2393215000629425,47,9.911010678820276e-09
295704,0.0003,6172,296,295603,-0.7890336599999999,-0.10374970734119415,0.0015857568942010403,999.0,0.23951491713523865,47,6.635342497673946e-09
299700,0.0003,6257,300,299599,-0.78819831,0.2685968279838562,0.0015865382738411427,999.0,0.2394416183233261,47,1.74982659473244e-08
303696,0.0003,6342,304,303595,-0.7883153300000001,-0.17772141098976135,0.0015870345523580909,999.0,0.23939046263694763,47,7.411782743105277e-09
307692,0.0003,6426,308,307591,-0.7887365100000001,-0.08058618009090424,0.0015882125589996576,999.0,0.23913460969924927,47,9.946079515543715e-09
311688,0.0003,6510,312,311587,-0.7894146100000001,0.7529196739196777,0.001586227328516543,999.0,0.2392328381538391,47,1.1507022890100416e-08
315684,0.0003,6594,316,315583,-0.78860029,0.25977692008018494,0.0015874122036620975,999.0,0.23934848606586456,47,4.689342691932552e-09
319680,0.0003,6680,320,319579,-0.7883245399999999,-0.37293076515197754,0.0015882026636973023,999.0,0.2392881214618683,47,1.2584447262042886e-08
323676,0.0003,6764,324,323575,-0.7870058299999999,0.16366036236286163,0.0015869755297899246,999.0,0.2392144650220871,47,4.148969168227268e-09
327672,0.0003,6848,328,327571,-0.7868558899999999,-0.4902007579803467,0.0015880194259807467,999.0,0.23925036191940308,47,6.9318502049497965e-09
331668,0.0003,6934,332,331567,-0.78664877,-0.7313361763954163,0.0015870814677327871,999.0,0.2391810417175293,47,8.880884472262096e-09
335664,0.0003,7018,336,335563,-0.7875831200000001,-0.07741718739271164,0.0015869180206209421,999.0,0.23931214213371277,47,9.44454026097219e-09
339660,0.0003,7103,340,339559,-0.78737494,0.02997026965022087,0.0015871465438976884,999.0,0.23917679488658905,47,2.888798089628608e-09
343656,0.0003,7187,344,343555,-0.7880239299999998,-0.10906717926263809,0.0015869400231167674,999.0,0.23921097815036774,47,1.3050645897294544e-08
347652,0.0003,7271,348,347551,-0.7878946,-0.10932441055774689,0.001586318132467568,999.0,0.23916274309158325,47,7.998731454961217e-09
351648,0.0003,7356,352,351547,-0.7875266699999999,0.11234172433614731,0.001587516744621098,999.0,0.23907192051410675,47,8.165822684702562e-09
355644,0.0003,7440,356,355543,-0.7870086899999998,-0.2102280557155609,0.0015877551632001996,999.0,0.2391461879014969,47,3.89489773766627e-09
359640,0.0003,7525,360,359539,-0.7869606299999999,0.45703110098838806,0.0015883708838373423,999.0,0.23911303281784058,47,2.859393388732201e-09
363636,0.0003,7610,364,363535,-0.7869336599999999,0.004338424652814865,0.0015875818207859993,999.0,0.23916226625442505,47,5.403471003972982e-09
367632,0.0003,7694,368,367531,-0.7870097699999999,-0.07138022780418396,0.0015869354829192162,999.0,0.23912230134010315,47,1.6657029533462264e-08
371628,0.0003,7778,372,371527,-0.7894080799999998,-0.28237250447273254,0.0015853479271754622,999.0,0.23916113376617432,47,4.914575857384307e-09
375624,0.0003,7862,376,375523,-0.7884472500000003,-0.13202780485153198,0.0015882549341768026,999.0,0.23907151818275452,47,2.1144803241668342e-08
379620,0.0003,7947,380,379519,-0.7876873300000001,0.048395004123449326,0.0015870708739385009,999.0,0.23910686373710632,47,7.238556420929854e-09
383616,0.0003,8031,384,383515,-0.7889384700000002,-0.5375247597694397,0.0015878808917477727,999.0,0.23914805054664612,47,2.3343871280445683e-09
387612,0.0003,8116,388,387511,-0.78873706,0.07933792471885681,0.0015871231444180012,999.0,0.23908306658267975,47,1.6095029309326492e-08
391608,0.0003,8201,392,391507,-0.78835982,-0.29643115401268005,0.0015881928848102689,999.0,0.23913900554180145,47,5.368380850967469e-09
395604,0.0003,8285,396,395503,-0.7880238000000002,-0.01030655950307846,0.0015869134804233909,999.0,0.2389981597661972,47,6.484185188782021e-09
399600,0.0003,8370,400,399499,-0.7879173200000001,-0.038288623094558716,0.0015873131342232227,999.0,0.23910550773143768,47,7.168540872015683e-09
