time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
76,38,77824,1012,-0.1361967242322862,-0.0010271739956806414,0.0008009841,0.0003,0.013916015625,0.005565730854868889,0.2,0.006430789473233745,-1.7193684577941895,370,-6053.166666666667,6053.166666666667
78,39,79872,1012,-0.10928512078244239,-0.0009233355842297897,0.0006855839,0.0003,0.012890625,-0.004524531774222851,0.2,0.0016211610098253004,-1.5000791549682617,380,-6053.166666666667,6053.166666666667
80,40,81920,1011,-0.09548308625817299,-0.0006476874143118039,0.0006816629,0.0003,0.009326171875,-0.0033862513955682516,0.2,0.0006312513585044144,-1.1248762607574463,390,-6053.166666666667,6053.166666666667
82,41,83968,1011,-0.08241794363129884,-0.0005236131910351105,0.00042014432,0.0003,0.006396484375,0.0003522690967656672,0.2,0.0006960778405300516,-1.4970226287841797,400,-6053.166666666667,6053.166666666667
85,42,86016,1011,-0.09641585529316217,-0.00011326179228490218,0.00023841925,0.0003,0.003271484375,0.0014175217365846038,0.2,0.0006708440171678375,-1.843834638595581,410,-6053.166666666667,6053.166666666667
87,43,88064,1009,-0.08993701429571957,-0.00038886031543370334,0.00048502418,0.0003,0.006494140625,0.0018990130629390478,0.2,0.00078266827886182,-1.4352912902832031,420,-6053.166666666667,6053.166666666667
89,44,90112,1009,-0.07625158675946295,-0.00010272075160173699,0.00015574289,0.0003,0.002587890625,-0.0013552127638831735,0.2,0.0004430418680385628,-1.298438310623169,430,-6053.166666666667,6053.166666666667
91,45,92160,1008,-0.07132457552943379,-0.0005032472166931256,0.00029029895,0.0003,0.003564453125,-0.0011149997590109706,0.2,0.00038520151088050625,-1.7934949398040771,440,-6053.166666666667,6053.166666666667
93,46,94208,1008,-0.09615713960956782,-0.0005535649863304571,0.00090063264,0.0003,0.009375,-0.0013821051688864827,0.2,0.00042837751507249775,-1.634469985961914,450,-6053.166666666667,6053.166666666667
95,47,96256,1008,-0.09650898943655192,-0.0005071612322353758,0.00055111933,0.0003,0.007373046875,-0.00121268758084625,0.2,0.00043315816947142594,-1.559403657913208,460,-6053.166666666667,6053.166666666667
97,48,98304,1008,-0.07308633335633204,-0.00043179307103855533,0.0002747309,0.0003,0.004443359375,-0.0021183909848332405,0.2,0.00023165941447587102,-1.3639097213745117,470,-6053.166666666667,6053.166666666667
99,49,100352,1007,-0.05961971607757732,-0.00011225449852645398,9.8051416e-05,0.0003,0.000927734375,0.0004297291743569076,0.2,0.00012004294087546441,-1.7667820453643799,480,-6053.166666666667,6053.166666666667
101,50,102400,1005,-0.05674082594923675,-0.00012092489632777869,0.00021610557,0.0003,0.001806640625,0.007464773952960968,0.2,8.103808038413262e-05,-1.783015251159668,490,-6053.166666666667,6053.166666666667
103,51,104448,1005,-0.05265852039447054,-0.00010481831413926557,0.00028365082,0.0003,0.002685546875,0.0001728235074551776,0.2,9.550226137662321e-05,-1.4551985263824463,500,-6053.166666666667,6053.166666666667
105,52,106496,1004,-0.07757441127905622,-0.0004960531947290292,0.0010400426,0.0003,0.004833984375,-0.0021477784030139446,0.2,8.6512923689952e-05,-1.6241743564605713,510,-6053.166666666667,6053.166666666667
108,53,108544,1004,-0.2097019165288657,-0.003945537193794734,0.022718742,0.0003,0.030712890625,-0.02888796664774418,0.2,0.00010792566311010888,-1.5269474983215332,520,-6053.166666666667,6053.166666666667
110,54,110592,1005,-0.25819148193113506,0.00023870530567364766,0.0005561527,0.0003,0.008154296875,0.0025834208354353905,0.2,8.917413737208335e-05,-1.8276033401489258,530,-6053.166666666667,6053.166666666667
112,55,112640,1005,-0.1935496198479086,-0.00044574684870894997,0.00081629417,0.0003,0.007568359375,-0.005508492235094309,0.2,5.3413865828133567e-05,-1.7039449214935303,540,-6053.166666666667,6053.166666666667
114,56,114688,1004,-0.18744440656155348,-9.753142658155411e-05,0.00045069115,0.0003,0.00380859375,0.0027907509356737137,0.2,4.5344149532411394e-05,-1.943913221359253,550,-6053.166666666667,6053.166666666667
116,57,116736,1004,-0.0941140757407993,-0.0018620668299263344,0.00056004827,0.0003,0.01455078125,0.0009175636223517358,0.2,6.063583469995137e-06,-1.9256243705749512,560,-6053.166666666667,6053.166666666667
118,58,118784,1004,-0.09327034351881594,-0.0008488370323902928,0.00052518514,0.0003,0.006396484375,-0.006590753328055143,0.2,5.65334898681158e-06,-1.9936213493347168,570,-6053.166666666667,6053.166666666667
120,59,120832,1003,-0.09835556806065142,-0.0005725958450057078,0.0003800326,0.0003,0.006884765625,0.0011818705825135112,0.2,1.040529090232667e-05,-1.945223331451416,580,-6053.166666666667,6053.166666666667
122,60,122880,1001,-0.10481567776296288,-0.00025231775653082876,0.0001972772,0.0003,0.0029296875,0.005128898192197084,0.2,8.753870233135785e-06,-1.8275420665740967,590,-6053.166666666667,6053.166666666667
124,61,124928,1000,-0.08454386303201318,-0.0012501890036219266,0.00048407222,0.0003,0.01025390625,-0.007740977220237255,0.2,3.363486683838346e-06,-2.0857372283935547,600,-6053.166666666667,6053.166666666667
126,62,126976,1000,-0.09097047799732536,-0.00014261412143241615,0.00027976243,0.0003,0.00361328125,0.001573774148710072,0.2,4.3426242143596024e-06,-1.7684502601623535,610,-6053.166666666667,6053.166666666667
129,63,129024,999,-0.09324700541328639,-0.0002481797062500846,0.0004104249,0.0003,0.005615234375,0.009782602079212666,0.2,1.1320805316472616e-05,-1.9270086288452148,620,-6053.166666666667,6053.166666666667
131,64,131072,999,-0.12035894179716707,-9.980676986742765e-06,0.0003500053,0.0003,0.004736328125,-0.0003997684398200363,0.2,1.3552101319191933e-05,-1.8133022785186768,630,-6053.166666666667,6053.166666666667
133,65,133120,999,-0.06999081624671817,-0.0007716216794506181,0.00037355736,0.0003,0.006884765625,0.0009233817108906806,0.2,4.765782585991474e-06,-1.7487707138061523,640,-6053.166666666667,6053.166666666667
