rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
88.33,-87.33,731,69632,95,34,-0.002041842134349281,0.01123046875,27.29670423269272,16.157535552978516,0.2,-0.249000688130036,0.8634285479784012,330,0.0003,0.0016795746
89.52,-88.52,732,71680,97,35,-0.0023076975550793575,0.016015625,19.608978398144245,9.605425834655762,0.2,-0.22611227291636168,0.8567260205745697,340,0.0003,0.0019408197
88.82,-87.82,734,73728,100,36,-0.0022812532406533137,0.013525390625,18.955509555339813,10.930652618408203,0.2,-0.23379294578917326,0.9011973589658737,350,0.0003,0.0017708138
88.52,-87.52,737,75776,102,37,-0.0008539816102711484,0.006884765625,20.275175297260283,8.005488395690918,0.2,-0.2281027704011649,0.902564749121666,360,0.0003,0.001036867
90.16,-89.16,739,77824,105,38,-0.0016027200552343856,0.01064453125,14.724156607687473,9.376227378845215,0.2,-0.21764087704941631,0.9174403473734856,370,0.0003,0.0010612239
89.92,-88.92,741,79872,107,39,-0.0034688462750636973,0.033642578125,21.82382188141346,12.284220695495605,0.2,-0.2130517704412341,0.8748947829008102,380,0.0003,0.0036373313
88.1,-87.1,743,81920,110,40,-0.0037381677233497613,0.025390625,16.879118305444717,4.530885696411133,0.2,-0.2135221733013168,0.8797781094908714,390,0.0003,0.00519207
88.98,-87.98,745,83968,112,41,-0.0017348208581097423,0.020166015625,15.567635547369719,8.74354076385498,0.2,-0.21651014732196927,0.92701505869627,400,0.0003,0.0023555565
88.39,-87.39,747,86016,115,42,-0.003981984951678896,0.029736328125,19.370877784490585,5.988026142120361,0.2,-0.23117655101232232,0.9110600873827934,410,0.0003,0.0038784517
87.25,-86.25,748,88064,117,43,-0.003697737444599625,0.025244140625,21.721369886398314,9.158475875854492,0.2,-0.20458200089633466,0.8765561431646347,420,0.0003,0.0015840429
88.31,-87.31,749,90112,120,44,-0.0033870141829538624,0.024462890625,25.344594657421112,12.421409606933594,0.2,-0.1979532194789499,0.8742794692516327,430,0.0003,0.002180167
89.89,-88.89,747,92160,123,45,-0.0017157959893665975,0.021484375,19.86515519917011,10.069396018981934,0.2,-0.22064582044258713,0.8979652896523476,440,0.0003,0.002736114
87.82,-86.82,743,94208,126,46,-0.0031997453883377603,0.023828125,24.977194434404375,12.452802658081055,0.2,-0.18476090484764426,0.827245756983757,450,0.0003,0.0027444786
87.13,-86.13,742,96256,129,47,-0.00285017814458115,0.030859375,12.473300912231206,6.064598560333252,0.2,-0.19187136862892656,0.938931193202734,460,0.0003,0.0020508112
86.24,-85.24,740,98304,132,48,-0.0020433382873306983,0.018798828125,11.59456339776516,3.479909658432007,0.2,-0.1811281991424039,0.9475137628614902,470,0.0003,0.0018946945
84.43,-83.43,739,100352,135,49,-0.003604485941468738,0.02412109375,12.295145726203918,3.3664920330047607,0.2,-0.18816240325104444,0.9453482441604137,480,0.0003,0.0013390225
86.43,-85.43,737,102400,138,50,-0.0035611635787063277,0.02958984375,13.786198623478413,7.0893964767456055,0.2,-0.16726455753669142,0.940326850861311,490,0.0003,0.003738556
90.42,-89.42,736,104448,141,51,-0.0024782273183518557,0.02119140625,20.016967710852622,9.316370964050293,0.2,-0.19863558509387075,0.8951979652047157,500,0.0003,0.0036012894
92.66,-91.66,735,106496,144,52,-0.005132676591165364,0.036181640625,24.84310792386532,5.2099995613098145,0.2,-0.214844792149961,0.7795973271131516,510,0.0003,0.0060449345
92.54,-91.54,734,108544,147,53,-0.0009451332545722835,0.011767578125,25.581127336621286,7.576188087463379,0.2,-0.19717664401978255,0.8693715333938599,520,0.0003,0.0012066502
93.71,-92.71,732,110592,151,54,-0.0027662159722240177,0.0185546875,28.95636282265186,15.206090927124023,0.2,-0.190823736670427,0.8535804450511932,530,0.0003,0.0019415114
91.35,-90.35,730,112640,154,55,-0.0022566533800272735,0.015625,22.962039253115655,14.652959823608398,0.2,-0.17488956269808115,0.8081365525722504,540,0.0003,0.0015532146
91.63,-90.63,729,114688,157,56,-0.0014640156128734815,0.008154296875,18.232988084852696,6.016149520874023,0.2,-0.16320012884680182,0.8657597005367279,550,0.0003,0.0015230081
93.46,-92.46,728,116736,160,57,-0.0037347493365814445,0.02119140625,37.63783421814442,12.811673164367676,0.2,-0.16900438969023526,0.783922404050827,560,0.0003,0.002646769
91.15,-90.15,726,118784,163,58,-0.003738954581785947,0.0228515625,31.502304610610008,15.659903526306152,0.2,-0.19420104413293302,0.8168140351772308,570,0.0003,0.0035688677
88.37,-87.37,725,120832,166,59,-0.0018597086345835123,0.01982421875,17.151305098831653,13.448562622070312,0.2,-0.17168863883707672,0.913078062236309,580,0.0003,0.0017178563
91.57,-90.58,724,122880,169,60,-0.0017100263892643852,0.0146484375,15.881073343753815,8.430824279785156,0.2,-0.15975157297216355,0.9307862222194672,590,0.0003,0.0011663222
88.07,-87.08,723,124928,172,61,-0.003677997131308075,0.039599609375,17.595011673867702,9.313105583190918,0.2,-0.26425704821012913,0.8000464886426926,600,0.0003,0.0039539994
87.52,-86.53,725,126976,175,62,-0.0018397985651972704,0.01787109375,20.39758488535881,4.686099052429199,0.2,-0.14986052794847637,0.8966563269495964,610,0.0003,0.0012343479
89.35,-88.36,727,129024,177,63,-0.001866397151025012,0.023486328125,15.33790763914585,4.444393634796143,0.2,-0.15480508303735405,0.9062561318278313,620,0.0003,0.0028929212
85.22,-84.22,730,131072,179,64,-0.0023383722713333555,0.015283203125,25.12989875972271,14.092522621154785,0.2,-0.13743693714495747,0.8569018393754959,630,0.0003,0.0016616067
84.83,-83.83,732,133120,181,65,-0.002946931168844458,0.02021484375,15.281430423259735,8.513348579406738,0.2,-0.14233573665842414,0.925058513879776,640,0.0003,0.001957567
83.44,-82.44,734,135168,183,66,-0.0016188735382456799,0.0150390625,16.016906018555165,7.472712516784668,0.2,-0.14359797579236327,0.9277044832706451,650,0.0003,0.0014515006
82.25,-81.25,737,137216,186,67,-0.002548581163136987,0.02333984375,9.816356873512268,5.931032657623291,0.2,-0.14006467929575592,0.9528972953557968,660,0.0003,0.0017874301
82.38,-81.38,739,139264,188,68,-0.0038254226088611175,0.01904296875,13.993993105739355,11.265153884887695,0.2,-0.13750399963464588,0.9362018257379532,670,0.0003,0.0023749648
87.25,-86.25,741,141312,190,69,-0.0012554856883070897,0.023828125,19.321195328235625,8.985084533691406,0.2,-0.19652399823535233,0.8296085447072983,680,0.0003,0.0030079158
88.07,-87.07,743,143360,192,70,-0.0030369724867341575,0.02275390625,20.605840800702573,9.149373054504395,0.2,-0.20669067159760743,0.8489748984575272,690,0.0003,0.0023686648
88.49,-87.49,745,145408,194,71,-0.0017938792909262702,0.016357421875,13.532937732338905,5.5555100440979,0.2,-0.13820803530979903,0.9373932778835297,700,0.0003,0.0016999105
89.69,-88.69,748,147456,197,72,-0.0017394808353856206,0.015478515625,17.85406813323498,9.902984619140625,0.2,-0.13336797819938512,0.8832745254039764,710,0.0003,0.0016228084
83.33,-82.33,750,149504,199,73,-0.0013104847588692793,0.01611328125,14.352486580610275,6.751931190490723,0.2,-0.1307683823397383,0.9355476647615433,720,0.0003,0.0013358946
84.0,-83.0,752,151552,201,74,-0.002317090370343067,0.022021484375,15.53502927273512,8.01633358001709,0.2,-0.12592236434575171,0.8997864127159119,730,0.0003,0.0017892702
