time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/policy_gradient_loss
358400,200.0,1139,175,-190.58207810999997,314,0.0003,0.2,-0.44587082946673035,7.208424908109009,0.070166015625,0.5479040145874023,0.9957449301145971,0.3780025541782379,1740,0.0049713925,-0.0030492208097712137
360448,200.0,1138,176,-196.02868242,316,0.0003,0.2,-0.4457076383754611,23.745440242812037,0.05361328125,15.92657470703125,0.98445790912956,0.37731435894966125,1750,0.0065402947,-0.0007247437606565654
362496,200.0,1137,177,-209.55976586,318,0.0003,0.2,-0.43434465397149324,7.898045551870018,0.103173828125,1.176547884941101,0.9924018052406609,0.37044522166252136,1760,0.009521035,0.004202116400119848
364544,200.0,1136,178,-213.18184609000002,320,0.0003,0.2,-0.42056436333805325,12.624813696183264,0.101220703125,8.506099700927734,0.9905759505927563,0.3684857189655304,1770,0.016197413,-0.0004673999552323949
366592,200.0,1136,179,-219.48572636999998,322,0.0003,0.2,-0.4226745465770364,9.979650431871415,0.0650390625,1.0305625200271606,0.9953687926754355,0.3698420524597168,1780,0.009565426,0.0013836804151651449
368640,200.0,1135,180,-211.06827983,324,0.0003,0.2,-0.42473129555583,4.845786023791879,0.131298828125,1.212242841720581,0.9891037754714489,0.3712611198425293,1790,0.011309071,0.001362290617362305
370688,200.0,1135,181,-214.23693986999996,326,0.0003,0.2,-0.4179957374930382,8.035557220131158,0.136376953125,1.2377429008483887,0.9751284345984459,0.3626379668712616,1800,0.014780063,0.004213628815341508
372736,200.0,1134,182,-205.06202366000002,328,0.0003,0.2,-0.4083790862932801,6.088996790163219,0.100537109375,0.6182851195335388,0.9919594246894121,0.3666691482067108,1810,0.013982813,-0.0008871877107594628
374784,200.0,1134,183,-202.66866582000003,330,0.0003,0.2,-0.4135408543050289,7.335582913458348,0.127880859375,1.2904012203216553,0.9912570491433144,0.364273339509964,1820,0.010664495,-0.00120226232065761
376832,200.0,1133,184,-202.41581183999998,332,0.0003,0.2,-0.40721395090222356,20.94795192927122,0.067333984375,9.682243347167969,0.9865354262292385,0.3634580373764038,1830,0.004999306,-0.004333201451663627
378880,200.0,1133,185,-203.19582730000002,334,0.0003,0.2,-0.4032780881971121,10.390567998960615,0.1197265625,0.7057271003723145,0.9841308537870646,0.36159059405326843,1840,0.009120176,0.002746686552563915
380928,200.0,1132,186,-193.4358019,336,0.0003,0.2,-0.3923095539212227,6.299915211740881,0.0916015625,14.631796836853027,0.9959437954239547,0.3545854687690735,1850,0.008984143,0.005875722534256056
382976,200.0,1131,187,-193.16350606,338,0.0003,0.2,-0.37954285703599455,2.0448067782068393,0.219775390625,0.04445036128163338,0.9945145156234503,0.3560883700847626,1860,0.04655909,0.009752153298904886
385024,200.0,1130,188,-188.01036427,340,0.0003,0.2,-0.3890414644032717,12.302790511026979,0.085205078125,1.0108073949813843,0.9789125397801399,0.3589072823524475,1870,0.036640264,0.002497162506915629
387072,200.0,1130,189,-193.05446297000003,342,0.0003,0.2,-0.39713443741202353,22.655294459685685,0.0876953125,2.2540881633758545,0.9816723056137562,0.3604964315891266,1880,0.0027378686,-0.0005646188230457483
389120,200.0,1129,190,-203.73366184,344,0.0003,0.2,-0.39481888897717,8.537293118238448,0.088037109375,4.428284168243408,0.9935738313943148,0.35718247294425964,1890,0.00917761,-0.005488572291142191
391168,200.0,1129,191,-202.43419470000003,346,0.0003,0.2,-0.3844626236706972,15.685897105559707,0.044580078125,12.11186408996582,0.9893120424821973,0.3527945578098297,1900,0.004109895,-0.0005707714335585479
393216,200.0,1129,192,-200.7367367,348,0.0003,0.2,-0.37660253047943115,8.967068947153166,0.130224609375,4.71497917175293,0.9850928168743849,0.3531767427921295,1910,0.012875599,0.0028845820561400615
395264,200.0,1128,193,-198.97465214999997,350,0.0003,0.2,-0.3681035652756691,4.163174501666799,0.0984375,0.4850396513938904,0.9895826959982514,0.3445378541946411,1920,0.013570333,0.002881155864452012
397312,200.0,1128,194,-198.16223577000005,352,0.0003,0.2,-0.3420859411358833,4.727019266271964,0.10234375,2.661936044692993,0.9867501882836223,0.3378984332084656,1930,0.0057583973,-0.0009393066400662064
399360,200.0,1127,195,-201.24875353,354,0.0003,0.2,-0.3351754330098629,10.120829387940466,0.115087890625,0.9123047590255737,0.9856467852368951,0.3386063873767853,1940,0.011371942,-0.0007467482490028487
401408,200.0,1127,196,-209.20112383999995,356,0.0003,0.2,-0.3341788791120052,5.633460165653378,0.085791015625,0.8345664143562317,0.9956223899498582,0.33799272775650024,1950,0.005371242,0.002320113113091793
403456,200.0,1126,197,-199.39836587000002,358,0.0003,0.2,-0.3358631063252687,2.468745237030089,0.102001953125,0.7030563354492188,0.9976831264793873,0.3387454152107239,1960,0.0076799216,0.00541443238616921
405504,200.0,1126,198,-193.25166047,359,0.0003,0.2,-0.3150881163775921,1.8414259766926988,0.23515625,0.7597232460975647,0.9986988684395328,0.32737991213798523,1970,0.015371714,0.012758354346442503
407552,200.0,1126,199,-190.52501581,361,0.0003,0.2,-0.3032494679093361,4.941980781359598,0.17919921875,0.9545357823371887,0.9932310474105179,0.326885849237442,1980,0.013558874,0.004659097245166777
409600,200.0,1125,200,-184.59133427000003,363,0.0003,0.2,-0.2995771985501051,3.5107643539318816,0.148779296875,3.449584484100342,0.9963359474204481,0.3260631263256073,1990,0.015563587,0.0004611032025422901
411648,200.0,1124,201,-194.31985549999993,365,0.0003,0.2,-0.3017539896070957,3.7604966286802664,0.139501953125,2.6242458820343018,0.9908829610794783,0.3287075459957123,2000,0.014948771,-9.591397574695292e-05
413696,200.0,1124,202,-201.01433702999995,367,0.0003,0.2,-0.3136742927134037,3.4796495152637363,0.081787109375,1.4203685522079468,0.9941346514970064,0.3334801197052002,2010,0.005118655,0.0013781538626062683
415744,200.0,1124,203,-190.00998676,369,0.0003,0.2,-0.31648626662790774,7.107284459704533,0.091943359375,2.414141893386841,0.9902635077014565,0.3299954831600189,2020,0.00837733,-0.0001438070245058043
417792,200.0,1122,204,-193.14705573999998,372,0.0003,0.2,-0.3069096550345421,5.098293297202327,0.14296875,3.5895678997039795,0.9894280899316072,0.32786184549331665,2030,0.0059061083,0.002309094261727296
419840,200.0,1121,205,-189.30235142000004,374,0.0003,0.2,-0.3051692396402359,8.713052464090287,0.10732421875,4.4734392166137695,0.9946104818955064,0.32950258255004883,2040,0.0110164145,-0.002090160089574056
421888,200.0,1120,206,-188.90542687999996,376,0.0003,0.2,-0.31433933302760125,2.1496935376431794,0.133935546875,1.9123165607452393,0.9982454737182707,0.3311573266983032,2050,0.009113532,0.006689928963896819
423936,200.0,1120,207,-189.40497136000002,378,0.0003,0.2,-0.3258904192596674,1.3508789779385553,0.13740234375,0.523492693901062,0.9983506335411221,0.33762454986572266,2060,0.016155891,0.0029985232540639117
425984,200.0,1120,208,-196.46870471000003,380,0.0003,0.2,-0.3360392484813929,3.228717529727146,0.096728515625,0.8042312264442444,0.9928941712714732,0.34002628922462463,2070,0.020111948,0.0008095046548987738
428032,200.0,1119,209,-203.57061773,382,0.0003,0.2,-0.33943735919892787,17.067957481741907,0.057861328125,2.096942663192749,0.988455792888999,0.3394825756549835,2080,0.0011831615,-0.0017925928870681674
430080,200.0,1119,210,-201.83425915,384,0.0003,0.2,-0.333693427965045,9.309771757852285,0.14296875,2.130354881286621,0.994378843344748,0.3360227942466736,2090,0.016698478,0.0007592273563204799
432128,200.0,1117,211,-193.16421573999997,386,0.0003,0.2,-0.33563956134021283,7.043929860554636,0.103662109375,3.4158267974853516,0.9942511906847358,0.3413524627685547,2100,0.0063036038,0.0021571684919763356
434176,200.0,1116,212,-193.71146028000004,388,0.0003,0.2,-0.34139520563185216,3.475596115994267,0.155615234375,0.49943017959594727,0.9887896180152893,0.3398571014404297,2110,0.038424443,0.0013463101378874854
436224,200.0,1116,213,-193.68186505999998,390,0.0003,0.2,-0.3407955925911665,14.175519129913301,0.070556640625,0.24718859791755676,0.9815151542425156,0.3406793475151062,2120,0.01542922,0.003542020245731692
438272,200.0,1115,214,-199.47987621999997,393,0.0003,0.2,-0.3423846408724785,6.933352331584319,0.116162109375,1.1352450847625732,0.9872182058170438,0.3407887816429138,2130,0.005356446,-0.0015092937581357546
440320,200.0,1114,215,-205.37908018000002,395,0.0003,0.2,-0.34767034500837324,8.57552278661169,0.111279296875,7.801577091217041,0.9942632671445608,0.3440513014793396,2140,0.007107084,-0.0028892020309285726
442368,200.0,1114,216,-205.56582143,397,0.0003,0.2,-0.3534284833818674,17.342504624277353,0.04482421875,4.273193836212158,0.9916067197918892,0.3453602194786072,2150,0.005935047,-0.0020154313675448065
444416,200.0,1113,217,-197.63322879000003,399,0.0003,0.2,-0.35368064753711226,4.608521790057421,0.178955078125,0.6671606302261353,0.9935459932312369,0.34446918964385986,2160,0.026674233,0.0028252182688447646
446464,200.0,1113,218,-194.30941030999998,401,0.0003,0.2,-0.34444725401699544,6.562039041984827,0.144775390625,1.9167251586914062,0.9842609670013189,0.3372480273246765,2170,0.012856977,0.003282634902279824
448512,200.0,1112,219,-192.20276426,403,0.0003,0.2,-0.3279801167547703,18.939877025038005,0.050439453125,16.401058197021484,0.990804323926568,0.33459702134132385,2180,0.007125845,-0.00215110844001174
450560,200.0,1112,220,-187.47800399,405,0.0003,0.2,-0.31956271901726724,3.7734079443616793,0.10693359375,2.175426959991455,0.9953523664735258,0.3317532539367676,2190,0.009768878,0.0004417608612129698
452608,200.0,1111,221,-186.10187777,407,0.0003,0.2,-0.3186621632426977,4.203310850728303,0.124267578125,1.560573935508728,0.9871476525440812,0.33462637662887573,2200,0.010542272,0.0035224430379457773
454656,200.0,1111,222,-197.57785234999994,409,0.0003,0.2,-0.3162677023559809,6.120521163288504,0.0908203125,0.31162333488464355,0.9853060254827142,0.3298041820526123,2210,0.013343455,-0.00013071874855086207
456704,200.0,1110,223,-194.77245157,411,0.0003,0.2,-0.3095885943621397,18.6156880851835,0.072998046875,2.4528555870056152,0.9783366750925779,0.32998183369636536,2220,0.012723187,-0.0032159890441107565
458752,200.0,1110,224,-186.91640653000002,413,0.0003,0.2,-0.3233047559857368,1.682862862374168,0.140576171875,0.09565722197294235,0.9968713738489896,0.3377184569835663,2230,0.03681742,-0.00499814977774804
460800,200.0,1108,225,-182.76861993,415,0.0003,0.2,-0.33712982535362246,2.957715783081949,0.14169921875,0.8991893529891968,0.9930307646282017,0.3382534980773926,2240,0.016473267,0.0014092480218096171
462848,200.0,1104,226,-180.53642880999996,418,0.0003,0.2,-0.3331775840371847,1.6409693795489146,0.1140625,1.0428780317306519,0.9968627041671425,0.3374234437942505,2250,0.025048414,0.003949565201764926
464896,200.0,1103,227,-180.98049644000005,421,0.0003,0.2,-0.33928901366889475,3.3664545175153764,0.09267578125,0.4113903343677521,0.9903557067736983,0.34323349595069885,2260,0.012056295,-0.003564980050578015
