train/policy_loss,train/value_loss,time/time_elapsed,train/n_updates,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/fps,train/entropy_loss,train/learning_rate
2.9981316401972435e-05,1.7869751900434494e-08,48,9199,9200,187.14,46000,-0.8013793230056763,187.14,946,-0.44465380907058716,0.0007
-0.0002803910174407065,2.5414630044906517e-07,49,9299,9300,191.23,46500,-2.4190683364868164,191.23,946,-0.21766789257526398,0.0007
2.8931830456713215e-05,1.849373774120977e-07,49,9399,9400,195.26,47000,-72.29838562011719,195.26,946,-0.2742002606391907,0.0007
-7.97978736954974e-06,1.236330682274911e-08,50,9499,9500,199.23,47500,-4.930000305175781,199.23,946,-0.2790391445159912,0.0007
3.848788037430495e-05,2.0907027931116318e-07,50,9599,9600,203.27,48000,-0.268548846244812,203.27,946,-0.27967533469200134,0.0007
-0.0003108220989815891,6.26023393124342e-07,51,9699,9700,207.6,48500,-0.1970973014831543,207.6,946,-0.41412749886512756,0.0007
7.541063678218052e-05,5.266280140858726e-07,51,9799,9800,211.79,49000,0.3351703882217407,211.79,946,-0.31300315260887146,0.0007
0.0001713675883365795,5.522859396478452e-07,52,9899,9900,215.88,49500,0.34170252084732056,215.88,946,-0.29189467430114746,0.0007
-0.00022890923719387501,9.56468255708387e-08,52,9999,10000,220.52,50000,0.6541288495063782,220.52,946,-0.2571392357349396,0.0007
3.16342557198368e-05,1.92900188267231e-07,53,10099,10100,224.73,50500,0.4054611325263977,224.73,946,-0.2699255049228668,0.0007
1.79163853317732e-05,1.8249265565373207e-07,53,10199,10200,229.11,51000,-0.15934503078460693,229.11,946,-0.27972742915153503,0.0007
-0.0003153071738779545,3.849971221825399e-07,54,10299,10300,233.79,51500,0.6781665682792664,233.79,946,-0.2802392840385437,0.0007
0.00029342068592086434,8.124508781293116e-07,54,10399,10400,238.54,52000,-2.193209648132324,238.54,946,-0.19263312220573425,0.0007
-3.733071935130283e-05,3.1205127015709877e-07,55,10499,10500,243.26,52500,0.47332680225372314,243.26,946,-0.24342016875743866,0.0007
0.00010545866098254919,7.919268796285905e-07,55,10599,10600,247.73,53000,0.34611988067626953,247.73,946,-0.3185526132583618,0.0007
0.0003237254568375647,6.561051009157381e-07,56,10699,10700,252.2,53500,0.41004544496536255,252.2,946,-0.19576378166675568,0.0007
8.442305261269212e-05,1.2346193898338242e-06,57,10799,10800,256.56,54000,0.09575176239013672,256.56,945,-0.2320176362991333,0.0007
-4.837234882870689e-05,6.572226993739605e-07,57,10899,10900,261.14,54500,0.16672414541244507,261.14,945,-0.20760643482208252,0.0007
-9.463894821237773e-05,1.9116559712983872e-07,58,10999,11000,265.71,55000,-0.44249534606933594,265.71,945,-0.28447240591049194,0.0007
-1.6126305126817897e-05,2.3714964925147797e-07,58,11099,11100,270.05,55500,0.5781638920307159,270.05,945,-0.15362140536308289,0.0007
-0.00022815335250925273,3.1481030760005524e-07,59,11199,11200,274.61,56000,-0.3695589303970337,274.61,945,-0.37441307306289673,0.0007
-0.0001343877229373902,2.782326191663742e-07,59,11299,11300,279.33,56500,0.282227098941803,279.33,944,-0.17267750203609467,0.0007
-3.955198189942166e-05,2.0361039076988163e-08,60,11399,11400,284.04,57000,0.7516966015100479,284.04,944,-0.3974429666996002,0.0007
-0.00012865080498158932,1.6092090504571388e-07,60,11499,11500,288.66,57500,-0.26089489459991455,288.66,944,-0.36064305901527405,0.0007
-3.569331602193415e-05,9.3050766736269e-07,61,11599,11600,293.38,58000,-2.1049249172210693,293.38,945,-0.13615158200263977,0.0007
0.0036799218505620956,9.572618000674993e-05,61,11699,11700,299.12,58500,-0.12982666492462158,299.12,945,-0.23867353796958923,0.0007
0.03099345788359642,0.006620989181101322,62,11799,11800,302.23,59000,0.46707797050476074,302.23,945,-0.130286306142807,0.0007
-0.13009756803512573,1780.893310546875,62,11899,11900,304.33,59500,0.04542785882949829,304.33,945,-0.1407810002565384,0.0007
0.005114641971886158,0.007806945592164993,63,11999,12000,306.12,60000,0.048821985721588135,306.12,945,-0.13586969673633575,0.0007
0.004182023461908102,0.0012684704270213842,63,12099,12100,308.98,60500,0.04253357648849487,308.98,945,-0.14514021575450897,0.0007
-4.045668902108446e-05,0.0014386966358870268,64,12199,12200,311.84,61000,-45.17485046386719,311.84,945,-0.016814205795526505,0.0007
-25.467409133911133,9382.224609375,65,12299,12300,314.59,61500,0.0011376142501831055,314.59,945,-0.22817125916481018,0.0007
-0.00010043106885859743,0.0001239979756064713,65,12399,12400,316.27,62000,-0.4880385398864746,316.27,945,-0.04892377927899361,0.0007
-0.0002580496366135776,1.7966656741918996e-05,66,12499,12500,316.84,62500,0.9116127341985703,316.84,945,-0.1743299663066864,0.0007
-0.010948268696665764,0.031797993928194046,66,12599,12600,316.45,63000,-1.2842738628387451,316.45,945,-0.1402154564857483,0.0007
0.0005642234464175999,0.00823887437582016,67,12699,12700,305.83,63500,0.9384754188358784,305.83,945,-0.05862756818532944,0.0007
0.020087961107492447,0.0005336614558473229,67,12799,12800,291.37,64000,0.9983469521394,291.37,945,-0.30025237798690796,0.0007
0.009454534389078617,0.0014577755937352777,68,12899,12900,285.51,64500,0.5532157719135284,285.51,946,-0.19797024130821228,0.0007
-9.466763731325045e-05,1.6804051483632065e-05,68,12999,13000,275.25,65000,0.989201963879168,275.25,945,-0.0876530334353447,0.0007
-4.479582275962457e-05,0.00026416959008201957,69,13099,13100,272.04,65500,0.6691833734512329,272.04,945,-0.03420409560203552,0.0007
4.167691804468632e-05,0.021372884511947632,69,13199,13200,272.04,66000,-21.737150192260742,272.04,946,-0.0031914864666759968,0.0007
0.007024836726486683,0.000611018156632781,70,13299,13300,272.04,66500,-4.8161492347717285,272.04,946,-0.2843157649040222,0.0007
-0.00030614217394031584,4.470412386581302e-05,70,13399,13400,270.16,67000,0.7367206513881683,270.16,946,-0.268321692943573,0.0007
-1.4735511285834946e-05,1.872179609563318e-06,71,13499,13500,264.39,67500,0.963626567274332,264.39,946,-0.05755862593650818,0.0007
-3.4467404930182965e-06,4.747125785797834e-06,71,13599,13600,262.58,68000,-3.9472169876098633,262.58,946,-0.01274322159588337,0.0007
0.0010838612215593457,2.0161037355137523e-06,72,13699,13700,262.58,68500,0.9386327154934406,262.58,946,-0.05829843878746033,0.0007
0.00010290683712810278,3.2302421459462494e-05,72,13799,13800,262.58,69000,-1.0382487773895264,262.58,945,-0.08091392368078232,0.0007
4.93115876452066e-05,1.97934677999001e-05,73,13899,13900,262.58,69500,-8.424386024475098,262.58,945,-0.10776879638433456,0.0007
2.3067588699632324e-05,3.547640403667174e-07,74,13999,14000,262.58,70000,0.7218357622623444,262.58,945,-0.13931865990161896,0.0007
-0.00012630634591914713,3.4395022794342367e-06,74,14099,14100,262.58,70500,0.5427734851837158,262.58,945,-0.19494399428367615,0.0007
0.0004190398321952671,1.6557402204853133e-06,75,14199,14200,262.58,71000,-17.868087768554688,262.58,945,-0.10847274214029312,0.0007
0.001063937321305275,1.0200450560660101e-05,75,14299,14300,262.58,71500,-1.0355823040008545,262.58,945,-0.3745027482509613,0.0007
-0.0009988343808799982,4.191382231510943e-06,76,14399,14400,262.58,72000,-2.954091787338257,262.58,945,-0.16299158334732056,0.0007
0.0004557236679829657,9.264162508770823e-05,76,14499,14500,262.58,72500,-1.2198538780212402,262.58,945,-0.17885340750217438,0.0007
-0.00017143835430033505,3.3259857445955276e-07,77,14599,14600,262.58,73000,-61.523929595947266,262.58,945,-0.26739922165870667,0.0007
-0.00019979178614448756,1.4767050515729352e-06,77,14699,14700,262.58,73500,-32.6442756652832,262.58,945,-0.27080169320106506,0.0007
-0.0007808112422935665,9.350684558739886e-05,78,14799,14800,262.58,74000,-1.3229925632476807,262.58,945,-0.22736263275146484,0.0007
-0.0012461112346500158,3.263709368184209e-05,78,14899,14900,262.58,74500,0.15141057968139648,262.58,945,-0.26445287466049194,0.0007
-3.504849155433476e-05,4.063988853886258e-06,79,14999,15000,262.58,75000,-68.47932434082031,262.58,944,-0.13969871401786804,0.0007
4.9164362280862406e-05,1.0952237516903551e-06,79,15099,15100,262.58,75500,-1.905102252960205,262.58,944,-0.1985447108745575,0.0007
-0.00018817333329934627,1.9773026451730402e-06,80,15199,15200,262.58,76000,-35.53220748901367,262.58,944,-0.2754974067211151,0.0007
0.0005670111859217286,3.4931231311929878e-06,80,15299,15300,262.58,76500,-17.46261978149414,262.58,944,-0.39321404695510864,0.0007
9.49678633332951e-06,1.993263083477359e-07,81,15399,15400,262.58,77000,-20.529998779296875,262.58,944,-0.27807945013046265,0.0007
-0.00016878382302820683,3.671506476621289e-07,82,15499,15500,262.58,77500,-0.12447071075439453,262.58,944,-0.2811545729637146,0.0007
5.8354005886940286e-05,3.0931782930565532e-06,82,15599,15600,262.58,78000,-11.74245834350586,262.58,944,-0.3900395631790161,0.0007
-0.00015235054888762534,2.039782657448086e-06,83,15699,15700,258.13,78500,-20.19132423400879,258.13,944,-0.29412731528282166,0.0007
-0.00010510351421544328,7.636216651007999e-06,83,15799,15800,258.13,79000,-31.043411254882812,258.13,945,-0.19733941555023193,0.0007
0.0006001359433867037,8.793664164841175e-06,84,15899,15900,258.13,79500,-33.1204833984375,258.13,945,-0.43995577096939087,0.0007
-0.0011854133335873485,6.9861184783803765e-06,84,15999,16000,258.13,80000,-8.120482444763184,258.13,945,-0.421637624502182,0.0007
-0.00025667823501862586,2.2785388864576817e-06,85,16099,16100,258.13,80500,-10.913891792297363,258.13,945,-0.36929741501808167,0.0007
0.00010622647823765874,1.5549128420389025e-06,85,16199,16200,258.13,81000,-0.8428858518600464,258.13,944,-0.2646818459033966,0.0007
0.001231675036251545,1.5767687727930024e-05,86,16299,16300,258.13,81500,-16057.7080078125,258.13,944,-0.3935490846633911,0.0007
0.0008857548236846924,7.6189985520613845e-06,86,16399,16400,258.13,82000,-18.23910903930664,258.13,943,-0.38931411504745483,0.0007
-0.00016083283117040992,2.201948154834099e-05,87,16499,16500,258.13,82500,0.1785435676574707,258.13,943,-0.1826552450656891,0.0007
0.0010486453538760543,1.7325568478554487e-05,88,16599,16600,258.13,83000,-111.95884704589844,258.13,942,-0.3945712447166443,0.0007
-0.0003983713104389608,1.371151302009821e-05,88,16699,16700,258.13,83500,-23.818105697631836,258.13,941,-0.2558487057685852,0.0007
-0.0009377772221341729,1.3487076103047002e-05,89,16799,16800,258.13,84000,-2294.87646484375,258.13,940,-0.3936220109462738,0.0007
0.013216689229011536,0.004444479942321777,89,16899,16900,259.05,84500,-11.778766632080078,259.05,939,-0.18703338503837585,0.0007
-0.0028906348161399364,3.701121386257e-05,90,16999,17000,256.96,85000,-3.2596449851989746,256.96,939,-0.35951605439186096,0.0007
-0.0013618387747555971,2.8462474801926874e-05,91,17099,17100,260.87,85500,-54.20854949951172,260.87,939,-0.48306065797805786,0.0007
-0.0005600079894065857,2.8421834940672852e-05,91,17199,17200,264.82,86000,-14.907439231872559,264.82,938,-0.271642804145813,0.0007
-0.002237857785075903,2.274987127748318e-05,92,17299,17300,268.96,86500,-41.9171142578125,268.96,938,-0.4153274595737457,0.0007
-0.002103247446939349,1.9906728994101286e-05,92,17399,17400,273.59,87000,-38.09498977661133,273.59,938,-0.25451231002807617,0.0007
0.0006807976169511676,3.7842684832867235e-05,93,17499,17500,278.09,87500,-42.11433792114258,278.09,937,-0.1974276453256607,0.0007
5.4937496315687895e-05,2.632872110552853e-06,93,17599,17600,282.61,88000,-13.314106941223145,282.61,937,-0.13357871770858765,0.0007
0.00012600223999470472,1.280979449802544e-05,94,17699,17700,287.27,88500,-7.09079647064209,287.27,937,-0.14889436960220337,0.0007
-0.00011526668822625652,7.2259690568898804e-06,94,17799,17800,291.63,89000,-6.276759624481201,291.63,937,-0.2141735553741455,0.0007
-0.007486081216484308,7.736728002782911e-05,95,17899,17900,296.15,89500,-1.6353745460510254,296.15,937,-0.17547953128814697,0.0007
